Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
2,3,give sb a hand,帮某人一把,"Let me give you a hand with that，sir.",让我来帮你一把吧，先生。
2,3,an overhead compartment,机舱内头顶置物箱,Let me assist in putting your carry-on baggage into the overhead compartment.,让我来帮你把随身携带行李放入头顶置物箱内。
2,3,rear,后部,There are toilets in both the front and the rear of the plane.,飞机前后舱都有洗手间。
2,3,hand out sth,分发某物,A flight attendant is handing out the customs form and immigration form.,一位空服员正在分发海关申请表和入境表格。
2,3,fill out a form,填写表格,You'll have to fill out a customs form before we land.,你得在飞机降落前先填写一份海关申请表。
2,3,headset,耳机,I'd like a headset for the in-flight entertainment.,我想要一个耳机来收听或观赏飞机上节目。
2,3,blanket,毛毯,"Excuse me.It's cold in here.Can you give me a blanket，please?",不好意思，机舱内好冷。可以麻烦你给我一条毛毯吗？
2,3,airsickness,晕机,"I feel airsick and feel like throwing up.Can you hand me that airsickness bag，please?",我感到晕机了，想要呕吐。你可以把那个呕吐袋地给我吗？
2,3,announcement,公布,Please listen up.I have an announcement to make.,请大家注意听。我有事情要宣布
2,3,turbulence,乱流,"We are experiencing a little turbulence，so we ask that all passengers return to your seats and fasten your seat belts.",我们正在经历一点乱流，所以我们要求所有乘客会到自己的座位上并系紧安全带。
2,3,bumpy,颠簸的,We had a bumpy flight because of severe turbulence.,我们因为遇到严重乱流而有一趟颠簸的航程。
2,3,altitude,海拔高度,"This is your captain speaking.We have reached our cruising altitude.So，I have turned off the seat belt sign.",这里是机长广播。我们已经到达巡航高度，所以，我已经把系紧安全带的信号灯关闭。
2,3,encount,遭遇,"We are starting to encounter some turbulence，so the captain has turned on the fasten seat belt sign.",我们即将开始遭遇一些乱流，所以机长已经开启系紧安全带的信号灯。
2,3,descent,降落,"This is your captain speaking.We'll shortly be making our decent and touching down at London Heathrow Airport at approximately 8 AM，local time.",现在是机长广播，我们即将在当地时间早上八点左右降落伦敦希思罗机场。
2,3,buckle up,系紧安全带,All passengers must return to your seats and buckle up.,所有乘客都必须回到座位上并系上安全带。
2,3,fasten,系紧,Please fasten your seat belt.The airplane will take off soon.,请系好安全带，飞机很快就要起飞了。
2,3,switch,转换,I wonder if I could switch to an aisle/a window seat.,我想知道我是否可以换一个过道/靠窗位置。
2,3,swap,交换,"Excuse me，sir.Would you mind if we swapped seats?",不好意思，先生，您介意我们换一下座位吗？
2,3,upright,(人或物)直立的,We will be landing shortly.Please make sure that your seatback and tray table are in the upright position.,我们即将降落，请确定你的椅背和小桌板是否已经摆回直立位置。
2,3,adjust,调整，使适应/vi.适应,"Could you help me adjust the seat，Please?",能麻烦你帮我调整下座位吗？
2,3,legroom,座位上伸腿的空间,"If you fly first class，you have more legroom.",如果你搭头等舱，你的座位会有更多的伸腿空间。
2,3,recline,使(座椅靠背)向后倾斜,There is not enough legroom.I'm going to recline my seat.,这里没有足够的伸腿空间，我要把座椅往后靠一下。
2,3,keep sth down,压低(音量等),"I'm going to take a nap，so please keep your voice down.",我要小睡片刻，所以请你降低讲话音量。
2,3,refill,续杯,"Excuse me，but can you refill my coffee,please?",不好意思，你可以帮我续杯咖啡吗？
2,3,Would you care for sth?,你想不想要某物？,Would you care for Western or Asian-style breakfast?,请问你想要选西式还是中式早餐呢？
2,3,request,请求，要求,"I requested a vegetarian meal，but you gave me chicken.",我要的是素食餐，你给我送的是鸡肉。
2,3,warm up sth,把某物加热,"Is it possible for you to warm up my baby's milk,please?",可以麻烦你把我宝宝要喝的这瓶牛奶加热一下吗？
2,3,bargain,特价商品,It's a good bargain.,这是一个买的很划算的商品。
2,3,purchase,采购,"I'd like to make a purchase of Chanel No.5 perfume，please.",我想要购买香奈儿五号香水，麻烦你。
2,3,catalog,目录,"May I take a look at the catalog，please?",我可以看一下目录吗？
2,3,a wide selection of,各式各样的,We are offering a wide selection of duty free items that are only available during the flight.,我们仅在飞行期间提供各式各样的免税商品供各位选购。
2,3,be sold out,被卖光了,"I'm sorry，but the perfume is already sold out.",抱歉，香水已经卖光了。
2,4,transit,过境,the transit lounge at an airport,机场的中转候机楼
2,4,transfer,转机,There is no direct flight from here to Hawaii.You'll need to transfer in Shanghai,从这里没有直接飞往夏威夷的飞机，你必须在上海转机
2,4,stopover,中途停留,It's not a non-stop flight. We will make one layover in Sydney,这不是一家中途不过境其他地方的直达航班。我们会在悉尼中途停留
2,4,touch down,着陆,The plane is scheduled to touch down at 7:50 AM,飞机预定在早上7点50着陆
2,4,taxi,滑行，出租车,The plane is still taxiing on the runway.Please don't turnon your cell phone,飞机还在跑道上滑行，请不要打开手机
2,4,disembark,下（车、船、飞机）,Passengers are well-advised to disembark in an orderly fashion,乘客最好遵守秩序依次下飞机
2,4,arrive,到达,"When Janice arrived in Boston，she was already exhausted",当贾尼斯抵达波士顿时，他已经累坏了
2,4,procedure,步骤,What is the standard procedure if I have something to declare,如果我有某样东西要申报，标准流程是什么
2,4,immigration,移民监察局,go through immigration,通过移民检查
2,4,purpose,目的,What is thr purpose of your visit?,你出行的目的是什么
2,4,sightseeing,观光,go sightseeing,去观光
2,4,baggage,领取行李,the baggage claim area,行李领取处
2,4,luggage claim tag,行李领取标签,Please present your luggage claim tag,请出示你的行李领取标签
2,4,carousel,行李输送带,The passengers picked up their luggage from the carousel,这些旅客从行李转盘领取自己的行李
2,4,a baggage cart,行李手推车,Can we get a baggage cart?,我们可以去找一辆行李手推车吗
2,4,take responsibility fot sth,为某事负责,You need to take responsibility for losing my luggage,你需要为弄丢我的行李负责
2,4,nationality,国籍,What is your nationality,你是什么国籍
2,4,expire,过期,i am afraid your visa has expire,恐怕你的签证过期了
2,4,valid,有效的,be valid for,有效期为
2,4,visa,签证,apply for visa,申请签证
2,4,custom,海关,go through customs,通过海关
2,4,declare,申报,i have nothing to declare,我没有东西要申报
2,4,a customs declaration form,海关申报单,Fill out the customs declaration form to declare,填写海关申报单申报物品
2,4,personal belongings,个人物品,This diary is one of my most treasured possessions,这本日记是我最珍贵的财产之一
2,4,look through,快速查看,The customs officer looked through my baggage,那位海关人员快速查看了我的行李
2,4,limit,限量,My ehthusiasm for learning English knows no limits,我学英语的热诚没有极限
2,4,contraband,违禁品,The customs official confiscated the contraband from one of the passengers,海关官员没收了其中一位乘客的违禁品
2,4,jet lag,时差反应,The thing that bothers me most when I travel abroad is that I get really bad jet lag,出国旅行时让我最感到烦恼的事情就是我常会深受时差反应之苦
2,4,time zone,时区,How many time zones will we cross when we go from NewYork to London?,我们从纽约飞到伦敦需要跨越几个时区
2,4,length of stay,停留时间,My length of stay is two weeks,我的停留时间是两周
2,4,browse,在商店随意的看,browse through sth,随意浏览某物
2,4,gift-warp,将..包装成礼物,"Could you gift-warp this for me，please?",可以麻烦你帮我把这个包装成礼物吗
2,4,a good buy,划算的买卖,You can get a good buy at duty-free shop,你可以在免税店买些划算的东西
2,4,bargain,买的很划算的东西；讨价还价,bargain with sb about sth,和某人就某物讨价还价
2,4,stock,存货,be out of stock,没有库存了
2,4,bulk,大量,buy in bulk,大批购买
2,4,discount,打折扣;折扣,at a discount,打折扣
2,4,konck+金额+off the price,降低某价格若干金额,The store owner knocked $20 off the price because of the item's defect,店家因为商品的瑕疵将价格降低了20美元
2,4,means,财力,live within one's means,量入为出
2,4,be over sb's budget,超出某人的预算,be within sb's budget,在某人的预算范围内
